,Date,Day,status_country,counts
125,01-02-2015,286,Cases_Liberia,8157
126,12/31/2014,284,Cases_Liberia,8115
127,12/28/2014,281,Cases_Liberia,8018
128,12/27/2014,280,Cases_Liberia,0
129,12/24/2014,277,Cases_Liberia,7977
130,12/21/2014,273,Cases_Liberia,0
131,12/20/2014,272,Cases_Liberia,7862
132,12/18/2014,271,Cases_Liberia,7830
133,12/14/2014,267,Cases_Liberia,0
134,12-09-2014,262,Cases_Liberia,7797
135,12-07-2014,260,Cases_Liberia,0
136,12-03-2014,256,Cases_Liberia,7719
137,11/30/2014,253,Cases_Liberia,0
138,11/28/2014,251,Cases_Liberia,7635
139,11/23/2014,246,Cases_Liberia,0
140,11/22/2014,245,Cases_Liberia,7168
141,11/18/2014,241,Cases_Liberia,7082
142,11/16/2014,239,Cases_Liberia,0
143,11/15/2014,238,Cases_Liberia,7069
144,11-11-2014,234,Cases_Liberia,0
145,11-10-2014,233,Cases_Liberia,6878
146,11-09-2014,232,Cases_Liberia,0
147,11-08-2014,231,Cases_Liberia,6822
148,11-04-2014,227,Cases_Liberia,6619
149,11-03-2014,226,Cases_Liberia,0
150,11-02-2014,225,Cases_Liberia,0
151,10/31/2014,222,Cases_Liberia,6525
152,10/29/2014,220,Cases_Liberia,0
153,10/27/2014,218,Cases_Liberia,0
154,10/25/2014,216,Cases_Liberia,6535
155,10/22/2014,214,Cases_Liberia,0
156,10/21/2014,213,Cases_Liberia,0
157,10/19/2014,211,Cases_Liberia,0
158,10/18/2014,210,Cases_Liberia,4665
159,10/14/2014,206,Cases_Liberia,0
160,10/13/2014,205,Cases_Liberia,4262
161,10-12-2014,204,Cases_Liberia,0
162,10-11-2014,203,Cases_Liberia,4249
163,10-08-2014,200,Cases_Liberia,0
164,10-07-2014,199,Cases_Liberia,4076
165,10-05-2014,197,Cases_Liberia,0
166,10-04-2014,196,Cases_Liberia,3924
167,10-01-2014,193,Cases_Liberia,3834
168,9/28/2014,190,Cases_Liberia,3696
169,9/23/2014,185,Cases_Liberia,3458
170,9/21/2014,183,Cases_Liberia,3280
171,9/20/2014,182,Cases_Liberia,0
172,9/19/2014,181,Cases_Liberia,0
173,9/17/2014,179,Cases_Liberia,3022
174,9/14/2014,176,Cases_Liberia,2710
175,9/13/2014,175,Cases_Liberia,0
176,09-10-2014,172,Cases_Liberia,0
177,09-09-2014,171,Cases_Liberia,2407
178,09-07-2014,169,Cases_Liberia,2081
179,09-05-2014,167,Cases_Liberia,1871
180,8/31/2014,162,Cases_Liberia,1698
181,8/26/2014,157,Cases_Liberia,1378
182,8/20/2014,151,Cases_Liberia,1082
183,8/18/2014,149,Cases_Liberia,972
184,8/16/2014,147,Cases_Liberia,834
185,8/13/2014,144,Cases_Liberia,786
